prov,tahun,kategori_pmi
KEP. RIAU,2013,SANGAT TINGGI
DKI JAKARTA,2013,SANGAT TINGGI
JAWA BARAT,2013,TINGGI
JAWA TENGAH,2013,TINGGI
DI YOGYAKARTA,2013,SANGAT TINGGI
JAWA TIMUR,2013,TINGGI
BANTEN,2013,TINGGI
BALI,2013,SANGAT TINGGI
NUSA TENGGARA BARAT,2013,TINGGI
NUSA TENGGARA TIMUR,2013,TINGGI
KALIMANTAN BARAT,2013,TINGGI
KALIMANTAN TENGAH,2013,SANGAT TINGGI
KALIMANTAN SELATAN,2013,TINGGI
KALIMANTAN TIMUR,2013,SANGAT TINGGI
KALIMANTAN UTARA,2013,TINGGI
SULAWESI UTARA,2013,TINGGI
SULAWESI TENGAH,2013,TINGGI
SULAWESI SELATAN,2013,TINGGI
SULAWESI TENGGARA,2013,TINGGI
GORONTALO,2013,TINGGI
SULAWESI BARAT,2013,TINGGI
MALUKU,2013,TINGGI
MALUKU UTARA,2013,TINGGI
PAPUA BARAT,2013,SANGAT RENDAH
PAPUA,2013,SANGAT RENDAH
ACEH,2012,TINGGI
SUMATERA UTARA,2012,TINGGI
SUMATERA BARAT,2012,TINGGI
RIAU,2012,TINGGI
JAMBI,2012,TINGGI
SUMATERA SELATAN,2012,TINGGI
BENGKULU,2012,TINGGI
LAMPUNG,2012,TINGGI
KEP. BANGKA BELITUNG,2012,TINGGI
KEP. RIAU,2012,TINGGI
DKI JAKARTA,2012,TINGGI
JAWA BARAT,2012,TINGGI
JAWA TENGAH,2012,TINGGI
DI YOGYAKARTA,2012,TINGGI
JAWA TIMUR,2012,TINGGI
BANTEN,2012,TINGGI
BALI,2012,TINGGI
NUSA TENGGARA BARAT,2012,TINGGI
NUSA TENGGARA TIMUR,2012,TINGGI
KALIMANTAN BARAT,2012,TINGGI
KALIMANTAN TENGAH,2012,TINGGI
KALIMANTAN SELATAN,2012,TINGGI
KALIMANTAN TIMUR,2012,TINGGI
KALIMANTAN UTARA,2012,TINGGI
SULAWESI UTARA,2012,TINGGI
SULAWESI TENGAH,2012,TINGGI
SULAWESI SELATAN,2012,TINGGI
SULAWESI TENGGARA,2012,TINGGI
GORONTALO,2012,TINGGI
SULAWESI BARAT,2012,TINGGI
MALUKU,2012,TINGGI
MALUKU UTARA,2012,TINGGI
PAPUA BARAT,2012,TINGGI
PAPUA,2012,TINGGI
ACEH,2011,TINGGI
SUMATERA UTARA,2011,TINGGI
SUMATERA BARAT,2011,TINGGI
RIAU,2011,TINGGI
JAMBI,2011,TINGGI
SUMATERA SELATAN,2011,TINGGI
BENGKULU,2011,TINGGI
LAMPUNG,2011,TINGGI
KEP. BANGKA BELITUNG,2011,TINGGI
KEP. RIAU,2011,TINGGI
DKI JAKARTA,2011,TINGGI
JAWA BARAT,2011,TINGGI
JAWA TENGAH,2011,TINGGI
DI YOGYAKARTA,2011,TINGGI
JAWA TIMUR,2011,TINGGI
BANTEN,2011,TINGGI
BALI,2011,TINGGI
NUSA TENGGARA BARAT,2011,TINGGI
NUSA TENGGARA TIMUR,2011,TINGGI
KALIMANTAN BARAT,2011,TINGGI
KALIMANTAN TENGAH,2011,TINGGI
KALIMANTAN SELATAN,2011,TINGGI
KALIMANTAN TIMUR,2011,TINGGI
KALIMANTAN UTARA,2011,TINGGI
SULAWESI UTARA,2011,TINGGI
SULAWESI TENGAH,2011,TINGGI
SULAWESI SELATAN,2011,TINGGI
SULAWESI TENGGARA,2011,TINGGI
GORONTALO,2011,TINGGI
SULAWESI BARAT,2011,TINGGI
MALUKU,2011,TINGGI
MALUKU UTARA,2011,TINGGI
PAPUA BARAT,2011,TINGGI
PAPUA,2011,TINGGI
ACEH,2010,TINGGI
SUMATERA UTARA,2010,TINGGI
SUMATERA BARAT,2010,TINGGI
RIAU,2010,TINGGI
JAMBI,2010,TINGGI
SUMATERA SELATAN,2010,TINGGI
BENGKULU,2010,TINGGI
LAMPUNG,2010,TINGGI
KEP. BANGKA BELITUNG,2010,TINGGI
KEP. RIAU,2010,TINGGI
DKI JAKARTA,2010,SANGAT TINGGI
JAWA BARAT,2010,TINGGI
